timestamp,session_id,age,gender,enrollment,sus_q1,sus_q2,sus_q3,sus_q4,sus_q5,sus_q6,sus_q7,sus_q8,sus_q9,sus_q10,qual_completeness,qual_clarity,qual_utility,qual_trust,qual_sources,nps_score,comments
2026-02-24T11:33:12.844194,198a8ee8-809c-4973-9c43-e3f006719017,,Seleziona...,Seleziona...,5,1,5,1,3,2,4,2,5,1,5,5,5,4,5,10,"Per cambiare modalità non mi piace il fatto che devo ripartire da 0, quindi avviare il programma e accettare tutto. Sarebbe più comodo riportarmi semplicemente alla scelta delle materia."
2026-02-25T09:27:08.697257,5ef080c2-60e0-48b7-89ba-f134bdf74423,21,Uomo,Triennale,4,2,5,2,3,2,4,2,4,3,5,3,3,4,4,8,
2026-02-25T09:27:09.263047,b9eb77f5-1569-4918-8028-f8a9cbdc74a5,21,Uomo,Triennale,4,1,3,2,4,1,5,2,3,1,4,4,3,3,4,9,
2026-02-25T09:28:16.328971,9df1df19-cc8b-4636-8667-ebb1204be176,24,Uomo,Triennale,5,1,4,1,3,1,4,2,4,1,4,4,4,4,4,9,"Ho notato che nella risposta anche termini ""inglesi"" che vengono spiegati e richiesti così venivano tradotti in italiano. Potrebbe generare confusione."
2026-02-25T10:15:16.565220,6ab8da56-a9f1-488f-b186-16e54cf7ae4d,26,Seleziona...,Seleziona...,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,
2026-02-25T10:15:30.141443,f0542b4d-fa7b-4547-9a06-38995c62aad0,21,Uomo,Triennale,4,1,4,2,3,2,4,1,3,1,3,3,4,3,4,8,
2026-02-25T10:16:08.139857,5fa096fd-672c-41f1-8e6d-c00770681731,20,Uomo,Triennale,4,1,5,1,3,1,5,2,5,1,5,5,5,3,5,8,
2026-02-25T10:16:39.471026,ccf19996-7f8b-4365-a734-d8b9e30d33ef,26,Uomo,Triennale,4,2,5,2,5,1,4,3,4,4,5,5,5,5,5,9,
2026-02-25T10:18:01.520265,9d73f764-5552-4c76-b016-b43b808078f7,21,Uomo,Triennale,4,1,1,1,4,1,4,1,4,1,4,5,5,5,4,10,"è stato molto interessante vedere come il sistema abbia generato anche le formule relative alla domanda a cui doveva rispondere, inoltre consiglierei questo strumento perr riuscire a comprendere meglio gli argomenti e testare il proprio livello di preparazione"
2026-02-25T11:11:30.591178,2caba3ec-2b78-48f4-b57f-46a8ae4a3644,21,Uomo,Triennale,3,2,4,1,4,1,4,1,3,1,4,4,4,4,4,7,
2026-02-25T11:12:39.252595,50aa0379-0407-4f11-8a70-fd0eb8d3790e,23,Uomo,Triennale,4,2,5,1,4,1,4,1,5,1,5,5,4,5,5,9,
2026-02-25T11:13:27.015935,2b05570c-9187-4e04-8ea2-492711f5038b,22,Uomo,Triennale,5,1,5,1,2,1,5,1,5,1,5,5,4,5,5,9,Molto utile! Durante la triennale mi è capitato spesso di dover caricare tutto il materiale del corso su un LLM per ottenere risposte realmente basate sui file forniti dal professore e non su contenuti trovati online. Trovo che questo sia davvero un progetto eccellente e un’idea molto intelligente.
2026-02-25T11:16:19.818661,d1ae2cf0-be47-433b-88ba-ef480746bb77,21,Uomo,Triennale,4,1,5,1,5,1,4,1,1,1,5,5,5,2,4,8,"Il modello rischia di essere incoerente, a volte si adatta troppo alla domanda indluenzando la sua risposta e a volte dando risposte contraddittorie, ciò nonostante risposte super chiare e un modello grandioso. Lo userei assolutamente!!"
